State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,AGAR MALWA RTO - MP70,E2W,ATHER ENERGY LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Madhya Pradesh,AGAR MALWA RTO - MP70,E2W,BAJAJ AUTO LTD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,10.0,21.0,13.0,6.0,4.0,15.0,6.0,5.0,0.0,0.0,36.0,0.0,0.0,0.0
Madhya Pradesh,AGAR MALWA RTO - MP70,E2W,BGAUSS AUTO PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madhya Pradesh,AGAR MALWA RTO - MP70,E2W,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Madhya Pradesh,AGAR MALWA RTO - MP70,E2W,HERO MOTOCORP LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,5.0,1.0,12.0,0.0,0.0,0.0
Madhya Pradesh,AGAR MALWA RTO - MP70,E2W,HONGKONG YIXING (IMPORTER: ADMS MARKETING),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Madhya Pradesh,AGAR MALWA RTO - MP70,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Madhya Pradesh,AGAR MALWA RTO - MP70,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,0.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,0.0,1.0,4.0,3.0,9.0,4.0,8.0,11.0,0.0,39.0,0.0,0.0,0.0
Madhya Pradesh,AGAR MALWA RTO - MP70,E2W,TVS MOTOR COMPANY LTD,0.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,5.0,6.0,5.0,8.0,11.0,19.0,21.0,14.0,16.0,0.0,89.0,0.0,0.0,0.0
Madhya Pradesh,AGAR MALWA RTO - MP70,ICE,BAJAJ AUTO LTD,97.0,79.0,78.0,135.0,91.0,89.0,83.0,83.0,79.0,156.0,284.0,100.0,77.0,47.0,45.0,92.0,86.0,33.0,7.0,387.0,0.0,0.0,0.0
